player,country,age,role,base_price_lakh,sold_price_lakh,team,capped_status,season,price_multiplier,is_overseas
R Ashwin,India,35,ALL-ROUNDER,200,500.0,RR,Capped,2022,2.5,False
Trent Boult,New Zealand,32,BOWLER,200,800.0,RR,Capped,2022,4.0,True
Pat Cummins,Australia,28,ALL-ROUNDER,200,725.0,KKR,Capped,2022,3.625,True
Quinton De Kock,South Africa,29,WICKETKEEPER,200,675.0,LSG,Capped,2022,3.375,True
Shikhar Dhawan,India,36,BATSMAN,200,825.0,PK,Capped,2022,4.125,False
Faf Du Plessis,South Africa,37,BATSMAN,200,700.0,RCB,Capped,2022,3.5,True
Shreyas Iyer,India,27,BATSMAN,200,1225.0,KKR,Capped,2022,6.125,False
Kagiso Rabada,South Africa,26,BOWLER,200,925.0,PK,Capped,2022,4.625,True
Mohammad Shami,India,32,BOWLER,200,625.0,GT,Capped,2022,3.125,False
David Warner,Australia,35,BATSMAN,200,625.0,DC,Capped,2022,3.125,True
Shimron Hetmyer,West Indies,25,BATSMAN,150,850.0,RR,Capped,2022,5.666666666666667,True
David Miller,South Africa,32,BATSMAN,100,300.0,GT,Capped,2022,3.0,True
Devdutt Padikkal,India,21,BATSMAN,200,775.0,RR,Capped,2022,3.875,False
Manish Pandey,India,32,BATSMAN,100,460.0,LSG,Capped,2022,4.6,False
Jason Roy,England,31,BATSMAN,200,200.0,GT,Capped,2022,1.0,True
Robin Uthappa,India,36,BATSMAN,200,200.0,CSK,Capped,2022,1.0,False
Dwayne Bravo,West Indies,38,ALL-ROUNDER,200,440.0,CSK,Capped,2022,2.2,True
Wanindu Hasaranga,Sri Lanka,24,ALL-ROUNDER,100,1075.0,RCB,Capped,2022,10.75,True
Jason Holder,West Indies,30,ALL-ROUNDER,150,875.0,LSG,Capped,2022,5.833333333333333,True
Mitchell Marsh,Australia,30,ALL-ROUNDER,200,650.0,DC,Capped,2022,3.25,True
Mohammad Nabi,Afghanistan,37,ALL-ROUNDER,100,100.0,KKR,Capped,2022,1.0,True
Krunal Pandya,India,31,ALL-ROUNDER,200,825.0,LSG,Capped,2022,4.125,False
Harshal Patel,India,31,ALL-ROUNDER,200,1075.0,RCB,Capped,2022,5.375,False
Nitish Rana,India,28,ALL-ROUNDER,100,800.0,KKR,Capped,2022,8.0,False
Washington Sundar,India,22,ALL-ROUNDER,150,875.0,SRH,Capped,2022,5.833333333333333,False
Jonny Bairstow,England,32,WICKETKEEPER,150,675.0,PK,Capped,2022,4.5,True
Sam Billings,England,30,WICKETKEEPER,200,200.0,KKR,Capped,2022,1.0,True
Dinesh Karthik,India,36,WICKETKEEPER,200,550.0,RCB,Capped,2022,2.75,False
Ishan Kishan,India,23,WICKETKEEPER,200,1525.0,MI,Capped,2022,7.625,False
Nicholas Pooran,West Indies,26,WICKETKEEPER,150,1075.0,SRH,Capped,2022,7.166666666666667,True
Ambati Rayudu,India,36,WICKETKEEPER,200,675.0,CSK,Capped,2022,3.375,False
Wriddhiman Saha,India,37,WICKETKEEPER,100,190.0,GT,Capped,2022,1.9,False
Matthew Wade,Australia,34,WICKETKEEPER,200,240.0,GT,Capped,2022,1.2,True
Deepak Chahar,India,29,BOWLER,200,1400.0,CSK,Capped,2022,7.0,False
Lockie Ferguson,New Zealand,30,BOWLER,200,1000.0,GT,Capped,2022,5.0,True
Josh Hazlewood,Australia,31,BOWLER,200,775.0,RCB,Capped,2022,3.875,True
Prasidh Krishna,India,26,BOWLER,100,1000.0,RR,Capped,2022,10.0,False
Bhuvneshwar Kumar,India,32,BOWLER,200,420.0,SRH,Capped,2022,2.1,False
T Natarajan,India,30,BOWLER,100,400.0,SRH,Capped,2022,4.0,False
Mustafizur Rahman,Bangladesh,26,BOWLER,200,200.0,DC,Capped,2022,1.0,True
Shardul Thakur,India,30,BOWLER,200,1075.0,DC,Capped,2022,5.375,False
Mark Wood,England,32,BOWLER,200,750.0,LSG,Capped,2022,3.75,True
Umesh Yadav,India,34,BOWLER,200,200.0,KKR,Capped,2022,1.0,False
Yuzvendra Chahal,India,31,BOWLER,200,650.0,RR,Capped,2022,3.25,False
Rahul Chahar,India,22,BOWLER,75,525.0,PK,Capped,2022,7.0,False
Kuldeep Yadav,India,27,BOWLER,100,200.0,DC,Capped,2022,2.0,False
Dewald Brevis,South Africa,18,BATSMAN,20,300.0,MI,Uncapped,2022,15.0,True
Priyam Garg,India,21,BATSMAN,20,20.0,SRH,Uncapped,2022,1.0,False
Ashwin Hebbar,India,26,BATSMAN,20,20.0,DC,Uncapped,2022,1.0,False
CHari Nishaanth,India,25,BATSMAN,20,20.0,CSK,Uncapped,2022,1.0,False
Abhinav Sadarangani,India,27,BATSMAN,20,260.0,GT,Uncapped,2022,13.0,False
Anmolpreet Singh,India,24,BATSMAN,20,20.0,MI,Uncapped,2022,1.0,False
Rahul Tripathi,India,31,BATSMAN,40,850.0,SRH,Uncapped,2022,21.25,False
Shahbaz Ahamad,India,27,ALL-ROUNDER,30,240.0,RCB,Uncapped,2022,8.0,False
Harpreet Brar,India,26,ALL-ROUNDER,20,380.0,PK,Uncapped,2022,19.0,False
Deepak Hooda,India,26,ALL-ROUNDER,40,575.0,LSG,Uncapped,2022,14.375,False
Sarfaraz Khan,India,24,ALL-ROUNDER,20,20.0,DC,Uncapped,2022,1.0,False
Shahrukh Khan,India,26,ALL-ROUNDER,40,900.0,PK,Uncapped,2022,22.5,False
Shivam Mavi,India,23,ALL-ROUNDER,40,725.0,KKR,Uncapped,2022,18.125,False
Kamlesh Nagarkoti,India,22,ALL-ROUNDER,40,110.0,DC,Uncapped,2022,2.75,False
Riyan Parag,India,20,ALL-ROUNDER,30,380.0,RR,Uncapped,2022,12.666666666666666,False
Abhishek Sharma,India,21,ALL-ROUNDER,20,650.0,SRH,Uncapped,2022,32.5,False
Rahul Tewatia,India,28,ALL-ROUNDER,40,900.0,GT,Uncapped,2022,22.5,False
KS Bharat,India,28,WICKETKEEPER,20,200.0,DC,Uncapped,2022,10.0,False
Sheldon Jackson,India,35,WICKETKEEPER,30,60.0,KKR,Uncapped,2022,2.0,False
N Jagadeesan,India,26,WICKETKEEPER,20,20.0,CSK,Uncapped,2022,1.0,False
Anuj Rawat,India,22,WICKETKEEPER,20,340.0,RCB,Uncapped,2022,17.0,False
Jitesh Sharma,India,28,WICKETKEEPER,20,20.0,PK,Uncapped,2022,1.0,False
Prabhsimran Singh,India,21,WICKETKEEPER,20,60.0,PK,Uncapped,2022,3.0,False
Vishnu Vinod,India,28,WICKETKEEPER,20,50.0,SRH,Uncapped,2022,2.5,False
KM Asif,India,28,BOWLER,20,20.0,CSK,Uncapped,2022,1.0,False
Akash Deep,India,25,BOWLER,20,20.0,RCB,Uncapped,2022,1.0,False
Tushar Deshpande,India,26,BOWLER,20,20.0,CSK,Uncapped,2022,1.0,False
Avesh Khan,India,25,BOWLER,20,1000.0,LSG,Uncapped,2022,50.0,False
Ishan Porel,India,23,BOWLER,20,25.0,PK,Uncapped,2022,1.25,False
Ankit Singh Rajpoot,India,28,BOWLER,20,50.0,LSG,Uncapped,2022,2.5,False
Basil Thampi,India,28,BOWLER,30,30.0,MI,Uncapped,2022,1.0,False
Kartik Tyagi,India,21,BOWLER,20,400.0,SRH,Uncapped,2022,20.0,False
Noor Ahmad,Afghanistan,17,BOWLER,30,30.0,GT,Uncapped,2022,1.0,True
Murugan Ashwin,India,31,BOWLER,20,160.0,MI,Uncapped,2022,8.0,False
